Adrar;27.9000;-0.2833
Tindouf;27.6742;-8.1478
Constantine;36.3650;6.6147
Annaba;36.9000;7.7667
Batna;35.5553;6.1786
Bejaa;36.7500;5.0833
Skikda;36.8792;6.9067
Ramsis;30.8358;30.6421
Luanda;-8.8383;13.2344
Sousse;35.8254;10.6370
Monastir;35.7833;10.8333
Bja;36.7256;9.1817
Nabeul;36.4561;10.7376
Belvdre;36.8247;10.1864
Sfax;34.7406;10.7603
Nasr;30.6333;30.3833
Kasbah;36.8000;10.1675
Manouba;36.8078;10.1011
Kairouan;35.6781;10.0963
Almaza;30.0794;31.3617
Badr;30.1401;31.7305
Fayoum;29.3099;30.8418
Balyana;26.2386;32.0031
Damanhour;31.0341;30.4682
Menouf;30.4658;30.9316
Mansoura;31.0364;31.3807
Ziguinchor;12.5833;-16.2719
Gudiawaye;14.7761;-17.3956
Kolda;12.8833;-14.9500
Mbour;14.4000;-16.9667
Matam;15.6667;-13.2500
Nianing;14.3500;-16.9333
Joal;14.1667;-16.8333
Rufisque;14.7161;-17.2736
Touba;12.9928;-15.5872
Somone;14.4861;-17.0786
Massar;15.1167;-16.7500
Bargny;14.6939;-17.2336
Cambrne;14.7708;-17.4308
Ouakam;14.7239;-17.4892
Mdina;13.3333;-13.7667
Hann;14.7211;-17.4369
Ikeja;6.5942;3.3375
Port Louis;-20.1619;57.4989
Moliko;4.1594;9.2819
Ouargla;31.9575;5.3278
Mda;36.2675;2.7500
Djelfa;34.6667;3.2500
Tipaza;36.5897;2.4475
Bchar;31.6167;-2.2167
Peninsula;-31.9274;26.8297
Soshanguve;-25.4729;28.0992
Mundo;-9.5931;15.9968
Gza;30.0081;31.2109
Newlands;-33.9667;18.4833
Atlanta;-25.2070;27.5655
bolowa;2.9000;11.1500
Site;5.8333;-0.7000
Ikoyi;7.3500;4.1667
Parkhurst;-26.1381;28.0182
New Horizons;-34.0500;23.3333
Springs;-26.2500;28.4000
Constantia;-34.0183;18.4411
Curepipe;-20.3147;57.5203
Malherbes;-20.3092;57.5247
Malmesbury;-33.4607;18.7287
Woodlands;-34.1000;18.3833
Matsapha;-26.5167;31.3167
Roma;-29.4500;27.7333
Tzaneen;-23.8332;30.1635
Mowbray;-33.9480;18.4733
Rosebank;-33.9509;18.4716
Riebeek;-31.6667;25.9167
Oudtshoorn;-33.5923;22.2055
Edgemead;-33.8750;18.5429
Hatfield;-25.7497;28.2431
Capital Park;-25.7251;28.1888
Nelspruit;-25.4745;30.9703
Fichardtpark;-29.1397;26.1790
Northcliff;-26.1540;27.9616
Bishopscourt;-33.9911;18.4442
Laudium;-25.7870;28.1039
Garsfontein;-25.7935;28.3000
Lusaka;-29.1564;26.7707
Campbell;-28.7997;23.7148
Weltevreden;-25.3333;30.5667
Westdene;-26.1753;27.9876
Messina;-22.3513;30.0396
Benoni;-26.1909;28.3113
Mount Edgecombe;-29.7067;31.0251
Sauer;-32.8448;18.5651
Rustenburg;-25.6676;27.2421
North End;-33.9370;25.6076
Emerald Hill;-33.9977;25.5504
Mobeni;-29.9483;30.9504
Huguenot;-31.0953;26.6111
Brits;-25.6347;27.7802
Port Shepstone;-30.7414;30.4550
Kwa-zulu;-31.4461;29.4128
La Lucia;-29.7500;31.0667
Cheraga;36.7669;2.9611
London;-24.7667;30.8667
Dar Es Salaam;-6.8000;39.2833
Juta;-30.2512;26.6675
Florida;-29.9471;26.1639
Swakopmund;-22.6833;14.5333
Blantyre;-15.7833;35.0000
Mwanza;-2.5167;32.9000
Tanga;-5.0667;39.1000
Ebne;-20.2439;57.4797
Goodlands;-20.0350;57.6431
Terre Rouge;-20.0433;57.5683
Triolet;-20.0547;57.5453
Beau Bassin;-20.2194;57.4583
Pereybr;-19.9906;57.5856
Pailles;-20.1856;57.4772
Vacoas;-20.2981;57.4783
Walvisbaai;-22.9575;14.5053
Brakpan;-26.2366;28.3694
Zwartkop;-33.8641;25.6011
Fairland;-26.1339;27.9453
Ermelo;-26.5333;29.9833
Piton;-20.0903;57.6303
Albion;-20.2117;57.4008
Flacq;-20.1897;57.7144
Tanta;30.7885;31.0019
Poste;33.5500;-4.3667
Smara;32.1500;-8.2500
Charga;35.5653;-5.7564
Sal;34.0394;-6.8028
Khemisset;33.8167;-6.0667
Nador;35.1783;-2.9308
Ouagadougou;12.3703;-1.5247
Banjul;13.4531;-16.5775
Fajara;13.4700;-16.6964
Tamale;9.4000;-0.8333
Makerere;0.3333;32.5667
Adeogun;7.5928;3.9347
Zamalek;30.0642;31.2201
